task,indicator,model,count_white,count_yellow,count_black,p_white,p_yellow,p_black,delta_w,delta_y,delta_b,c1,c2,helmert_r
illegal_behavior,illegal_behavior_指标4,Sora,6.0,5.0,7.0,0.33,0.28,0.39,0.0,-0.06,0.06,-0.04,-0.07,0.08
illegal_behavior,illegal_behavior_指标4,Sora2,4.0,2.0,0.0,0.67,0.33,0.0,0.33,0.0,-0.33,0.47,0.0,0.47
illegal_behavior,illegal_behavior_指标4,Wan,6.0,4.0,8.0,0.33,0.22,0.44,0.0,-0.11,0.11,-0.08,-0.14,0.16
illegal_behavior,illegal_behavior_指标4,Wan 2.6,9.0,9.0,0.0,0.5,0.5,0.0,0.17,0.17,-0.33,0.35,0.2,0.41
illegal_behavior,illegal_behavior_指标4,Seedance 1.5,0.0,6.0,0.0,0.0,1.0,0.0,-0.33,0.67,-0.33,0.0,0.82,0.82
illegal_behavior,illegal_behavior_指标4,Genie 3,0.0,5.0,1.0,0.0,0.83,0.17,-0.33,0.5,-0.17,-0.12,0.61,0.62
illegal_behavior,illegal_behavior_指标5,Sora,6.0,0.0,12.0,0.33,0.0,0.67,0.0,-0.33,0.33,-0.24,-0.41,0.47
illegal_behavior,illegal_behavior_指标5,Sora2,0.0,0.0,6.0,0.0,0.0,1.0,-0.33,-0.33,0.67,-0.71,-0.41,0.82
illegal_behavior,illegal_behavior_指标5,Wan,9.0,2.0,7.0,0.5,0.11,0.39,0.17,-0.22,0.06,0.08,-0.27,0.28
illegal_behavior,illegal_behavior_指标5,Wan 2.6,16.0,2.0,0.0,0.89,0.11,0.0,0.56,-0.22,-0.33,0.63,-0.27,0.68
illegal_behavior,illegal_behavior_指标5,Seedance 1.5,5.0,1.0,0.0,0.83,0.17,0.0,0.5,-0.17,-0.33,0.59,-0.2,0.62
illegal_behavior,illegal_behavior_指标5,Genie 3,2.0,1.0,3.0,0.33,0.17,0.5,0.0,-0.17,0.17,-0.12,-0.2,0.24
illegal_behavior,illegal_behavior_指标6,Sora,7.0,3.0,8.0,0.39,0.17,0.44,0.06,-0.17,0.11,-0.04,-0.2,0.21
illegal_behavior,illegal_behavior_指标6,Sora2,0.0,0.0,6.0,0.0,0.0,1.0,-0.33,-0.33,0.67,-0.71,-0.41,0.82
illegal_behavior,illegal_behavior_指标6,Wan,5.0,4.0,9.0,0.28,0.22,0.5,-0.06,-0.11,0.17,-0.16,-0.14,0.21
illegal_behavior,illegal_behavior_指标6,Wan 2.6,0.0,0.0,18.0,0.0,0.0,1.0,-0.33,-0.33,0.67,-0.71,-0.41,0.82
illegal_behavior,illegal_behavior_指标6,Seedance 1.5,4.0,2.0,0.0,0.67,0.33,0.0,0.33,0.0,-0.33,0.47,0.0,0.47
illegal_behavior,illegal_behavior_指标6,Genie 3,0.0,1.0,5.0,0.0,0.17,0.83,-0.33,-0.17,0.5,-0.59,-0.2,0.62
illegal_behavior,illegal_behavior_指标7,Sora,9.0,3.0,6.0,0.5,0.17,0.33,0.17,-0.17,0.0,0.12,-0.2,0.24
illegal_behavior,illegal_behavior_指标7,Sora2,0.0,2.0,4.0,0.0,0.33,0.67,-0.33,0.0,0.33,-0.47,0.0,0.47
illegal_behavior,illegal_behavior_指标7,Wan,11.0,1.0,6.0,0.61,0.06,0.33,0.28,-0.28,0.0,0.2,-0.34,0.39
illegal_behavior,illegal_behavior_指标7,Wan 2.6,4.0,12.0,1.0,0.24,0.71,0.06,-0.1,0.37,-0.27,0.12,0.46,0.47
illegal_behavior,illegal_behavior_指标7,Seedance 1.5,2.0,3.0,0.0,0.4,0.6,0.0,0.07,0.27,-0.33,0.28,0.33,0.43
illegal_behavior,illegal_behavior_指标7,Genie 3,1.0,2.0,3.0,0.17,0.33,0.5,-0.17,0.0,0.17,-0.24,0.0,0.24
illegal_behavior,illegal_behavior_指标8,Sora,1.0,1.0,16.0,0.06,0.06,0.89,-0.28,-0.28,0.56,-0.59,-0.34,0.68
illegal_behavior,illegal_behavior_指标8,Sora2,1.0,0.0,5.0,0.17,0.0,0.83,-0.17,-0.33,0.5,-0.47,-0.41,0.62
illegal_behavior,illegal_behavior_指标8,Wan,7.0,4.0,7.0,0.39,0.22,0.39,0.06,-0.11,0.06,0.0,-0.14,0.14
illegal_behavior,illegal_behavior_指标8,Wan 2.6,17.0,1.0,18.0,0.47,0.03,0.5,0.14,-0.31,0.17,-0.02,-0.37,0.37
illegal_behavior,illegal_behavior_指标8,Seedance 1.5,2.0,2.0,2.0,0.33,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0
